,sse,kde
0,-59.55198846,0.0008518595117892494
1,-59.40157864175175,0.0008838880783938169
2,-59.2511688235035,0.0009167376508253846
3,-59.10075900525525,0.0009504112721440629
4,-58.950349187007006,0.0009849110402400804
5,-58.79993936875876,0.0010202380717010072
6,-58.64952955051051,0.001056392467589547
7,-58.49911973226226,0.0010933732813912685
8,-58.34870991401401,0.001131178489391888
9,-58.19830009576576,0.0011698049637406756
10,-58.04789027751752,0.0012092484484531349
11,-57.89748045926927,0.0012495035385987434
12,-57.74707064102102,0.0012905636629116886
13,-57.59666082277277,0.001332421070051097
14,-57.44625100452452,0.0013750668187247446
15,-57.29584118627627,0.0014184907718746134
16,-57.14543136802803,0.0014626815951055254
17,-56.99502154977978,0.0015076267595187948
18,-56.84461173153153,0.0015533125490906315
19,-56.69420191328328,0.0015997240727127987
20,-56.54379209503503,0.0016468452809864653
21,-56.39338227678678,0.001694658987834675
22,-56.24297245853853,0.001743146896969397
23,-56.09256264029029,0.0017922896332201468
24,-55.94215282204204,0.0018420667787001415
25,-55.79174300379379,0.001892456913754458
26,-55.64133318554554,0.0019434376626021287
27,-55.49092336729729,0.0019949857435517335
28,-55.34051354904905,0.0020470770236369834
29,-55.1901037308008,0.0020996865774863685
30,-55.03969391255255,0.002152788750208182
31,-54.8892840943043,0.0022063572240416294
32,-54.73887427605605,0.0022603650884928557
33,-54.5884644578078,0.0023147849136466157
34,-54.43805463955955,0.002369588826316018
35,-54.28764482131131,0.002424748588666841
36,-54.13723500306306,0.0024802356789288623
37,-53.98682518481481,0.0025360213737866946
38,-53.83641536656656,0.0025920768320207847
39,-53.68600554831831,0.002648373178957075
40,-53.535595730070064,0.002704881591266172
41,-53.38518591182182,0.002761573381648493
42,-53.23477609357357,0.0028184200829293607
43,-53.08436627532532,0.002875393531090356
44,-52.93395645707707,0.002932465946759475
45,-52.783546638828824,0.002989610014690218
46,-52.633136820580575,0.003046798960765176
47,-52.482727002332325,0.003104006626071268
48,-52.33231718408408,0.0031612075376113323
49,-52.18190736583583,0.0032183769752320564
50,-52.031497547587584,0.0032754910343720887
51,-51.881087729339335,0.0033325266842608816
52,-51.730677911091085,0.0033894618212239763
53,-51.58026809284284,0.0034462753167859997
54,-51.429858274594594,0.00350294706029383
55,-51.279448456346344,0.0035594579958210604
56,-51.129038638098095,0.003615790153153388
57,-50.978628819849845,0.0036719266726953467
58,-50.828219001601596,0.003727851824182041
59,-50.67780918335335,0.003783551019121598
60,-50.5273993651051,0.0038390108169420287
61,-50.376989546856855,0.0038942189248570816
62,-50.226579728608606,0.003949164191515151
63,-50.076169910360356,0.00400383659453796
64,-49.92576009211211,0.004058227222100436
65,-49.775350273863864,0.0041123282487478515
66,-49.624940455615615,0.0041661329056876155
67,-49.474530637367366,0.004219635445834124
68,-49.324120819119116,0.004272831103921543
69,-49.17371100087087,0.0043257160520400245
70,-49.02330118262262,0.004378287350976945
71,-48.87289136437437,0.0044305428977833815
72,-48.72248154612612,0.004482481370005521
73,-48.572071727877876,0.004534102167049694
74,-48.42166190962963,0.0045854053491666425
75,-48.27125209138138,0.004636391574558402
76,-48.12084227313313,0.0046870620351208555
77,-47.97043245488488,0.004737418391347866
78,-47.82002263663664,0.004787462706919664
79,-47.66961281838839,0.004837197383505996
80,-47.51920300014014,0.004886625096303021
81,-47.36879318189189,0.004935748730819891
82,-47.21838336364364,0.004984571321414979
83,-47.06797354539539,0.005033095992068378
84,-46.91756372714714,0.005081325899853979
85,-46.76715390889889,0.005129264181555453
86,-46.61674409065065,0.005176913903838137
87,-46.4663342724024,0.005224278017365948
88,-46.31592445415415,0.005271359315212414
89,-46.1655146359059,0.0053181603958862645
90,-46.01510481765766,0.005364683631251224
91,-45.86469499940941,0.0054109311395823135
92,-45.71428518116116,0.005456904763958249
93,-45.56387536291291,0.0055026060561527
94,-45.41346554466466,0.005548036266138494
95,-45.26305572641641,0.005593196337280504
96,-45.11264590816816,0.005638086907249339
97,-44.96223608991991,0.0056827083146436365
98,-44.81182627167167,0.00572706061126743
99,-44.66141645342342,0.005771143579970335
100,-44.51100663517517,0.005814956757913679
101,-44.36059681692692,0.005858499465092362
102,-44.21018699867867,0.0059017708379019065
103,-44.05977718043043,0.005944769867508517
104,-43.90936736218218,0.005987495442746529
105,-43.75895754393393,0.00602994639723676
106,-43.60854772568568,0.006072121560396941
107,-43.45813790743743,0.006114019811984943
108,-43.30772808918918,0.006155640139800305
109,-43.157318270940934,0.0061969817001473835
110,-43.006908452692684,0.0062380438806512156
111,-42.85649863444444,0.006278826365003816
112,-42.70608881619619,0.006319329199210741
113,-42.55567899794794,0.0063595528589006104
114,-42.4052691796997,0.00639949831726149
115,-42.25485936145145,0.006439167113164278
116,-42.1044495432032,0.006478561419037873
117,-41.95403972495495,0.006517684108070366
118,-41.8036299067067,0.006556538820311137
119,-41.653220088458454,0.006595130027271631
120,-41.502810270210205,0.0066334630946226075
121,-41.352400451961955,0.00667154434261198
122,-41.201990633713706,0.00670938110383783
123,-41.05158081546546,0.006746981778033496
124,-40.901170997217214,0.006784355883539133
125,-40.750761178968965,0.006821514105157873
126,-40.600351360720715,0.00685846833811571
127,-40.44994154247247,0.006895231727866812
128,-40.299531724224224,0.006931818705509968
129,-40.149121905975974,0.006968245018605402
130,-39.998712087727725,0.007004527757204489
131,-39.848302269479476,0.007040685374930357
132,-39.697892451231226,0.007076737704965796
133,-39.54748263298298,0.00711270597083414
134,-39.39707281473473,0.007148612791874445
135,-39.24666299648648,0.007184482183338481
136,-39.096253178238236,0.007220339551053697
