,Chemical Name,PC1,PC2,Spin Splitting Energy (kcal/mol)
56,Cr(II)(ammonia)4eq(ammonia)ax1(ammonia)ax2,-3.605272723183875,-1.1209026690040065,-48.56857773
57,Fe(III)(phen)3,6.387830850733104,2.0539030605996333,11.01839513
58,Fe(II)(phen)3,6.394846654853325,1.967159430533553,1.729443604
59,Co(II)(ammonia)4eq(water)ax1(water)ax2,-3.5950698610173144,1.8177703411049562,-3.8595711
60,Mn(III)(pisc)4eq(pisc)ax1(pisc)ax2,2.753943930258801,-0.8038193858850096,7.383846556
61,Mn(II)(pisc)4eq(pisc)ax1(pisc)ax2,2.7609597343790226,-0.8905630159510887,14.70674217
62,Fe(II)(ammonia)4eq(ammonia)ax1(ammonia)ax2,-3.784711991083388,1.0295881813978818,-10.56564584
63,Fe(III)(ammonia)4eq(ammonia)ax1(ammonia)ax2,-3.791727795203609,1.1163318114639624,5.804575011
64,Co(III)(tbuc)3,4.784931883003703,3.908052588104506,-2.5467994519999997
65,Co(II)(tbuc)3,4.791947687123925,3.8213089580384234,-19.2416176
66,Fe(III)(cl)4eq(pisc)ax1(pisc)ax2,0.1905524304702007,6.0802850266351856,4.971204493
67,Fe(II)(cl)4eq(pisc)ax1(pisc)ax2,0.19756823459042241,5.993541396569105,-6.228205545
68,Mn(II)(ammonia)4eq(pisc)ax1(pisc)ax2,1.016237509004408,-1.2845963937031575,-20.55534739
69,Co(II)(pisc)2eq(pisc)ax1(pisc)ax2,1.9480839597237327,2.77750098213695,0.19228704600000002
70,Co(III)(ox)4eq(ox)ax1(ox)ax2,0.27548133304171546,2.4705946737311435,18.21162037
71,Co(II)(ox)4eq(ox)ax1(ox)ax2,0.282497137161937,2.3838510436650635,-17.61770647
72,Fe(II)(misc)4eq(misc)ax1(misc)ax2,-0.8784102879121536,1.6385583800587848,42.18882833
73,Fe(III)(misc)4eq(misc)ax1(misc)ax2,-0.8854260920323751,1.725302010124866,37.6766572
74,Cr(II)(ox)4eq(ox)ax1(ox)ax2,0.48120566910887197,-0.008768438887164701,-50.43549806
75,Fe(II)(ox)4eq(pisc)ax1(pisc)ax2,2.148702024203302,2.6934584045296166,5.529388752000001
76,Mn(III)(water)4eq(pisc)ax1(pisc)ax2,1.0032711999041524,-0.7675016253252892,-57.64994554
77,Mn(II)(water)4eq(pisc)ax1(pisc)ax2,1.0102870040243743,-0.8542452553913702,-31.54886516
78,Fe(III)(isothiocyanate)4eq(isothiocyanate)ax1(isothiocyanate)ax2,-1.0244958431700113,1.8532141712117507,-12.59309402
79,Fe(II)(isothiocyanate)4eq(isothiocyanate)ax1(isothiocyanate)ax2,-1.0174800390497898,1.7664705411456703,-20.3464897
80,Co(III)(ox)4eq(isothiocyanate)ax1(isothiocyanate)ax2,-0.2987437611997154,2.3535338596422557,10.2342218
81,Fe(II)(isothiocyanate)4eq(carbonyl)ax1(carbonyl)ax2,-2.747894733449601,1.3529732149623248,5.846189621000001
82,Fe(III)(isothiocyanate)4eq(carbonyl)ax1(carbonyl)ax2,-2.754910537569822,1.439716845028406,-0.8229797759999999
83,Mn(II)(bipy)3,6.420828053459723,-2.309086311632143,-21.95967512
84,Mn(III)(bipy)3,6.4138122493395,-2.222342681566062,-32.83228788
85,Mn(II)(ammonia)4eq(carbonyl)ax1(carbonyl)ax2,-3.165203163107864,-2.627622306677892,-16.1339201
86,Mn(III)(ammonia)4eq(carbonyl)ax1(carbonyl)ax2,-3.172218967228085,-2.540878676611812,-50.75885415
87,Co(II)(porphyrin)eq(carbonyl)ax1(carbonyl)ax2,0.7625478055702939,1.658825032054546,7.604233226
88,Fe(III)(ox)4eq(isothiocyanate)ax1(isothiocyanate)ax2,-0.28088297331254825,1.8276455786806045,-5.8100800889999995
89,Fe(III)(cl)4eq(water)ax1(water)ax2,-3.9270227599942804,4.670737752414008,7.773296772
90,Fe(III)(en)3,0.7938452883932438,0.8124089639762446,9.601952704
91,Fe(II)(en)3,0.8008610925134654,0.7256653339101639,-5.027801268999999
92,Co(II)(bipy)3,5.703765286182754,2.2866988621125106,-6.225646812000001
93,Co(III)(bipy)3,5.696749482062533,2.3734424921785906,40.64824457
94,Co(III)(phen)3,6.339645610026887,2.6480281583193963,28.67060854
95,Co(II)(phen)3,6.346661414147107,2.561284528253315,-5.773279041
96,Co(II)(carbonyl)4eq(carbonyl)ax1(carbonyl)ax2,-3.807166814714989,1.4850742944103077,6.228782979
97,Co(III)(carbonyl)4eq(carbonyl)ax1(carbonyl)ax2,-3.8141826188352117,1.5718179244763886,56.28889695
98,Mn(II)(water)2eq(water)ax1(water)ax2,-1.562926172752534,-3.308183592672105,-37.31818707
99,Cr(II)(carbonyl)4eq(cyanide)ax1(cyanide)ax2,-3.6924062240471587,-0.6900713636219135,-2.035427653
100,Cr(III)(carbonyl)4eq(cyanide)ax1(cyanide)ax2,-3.699422028167381,-0.6033277335558332,-14.60325381
101,Fe(III)(isothiocyanate)4eq(cyanide)ax1(cyanide)ax2,-2.8263445598381525,1.5582451531440262,4.739386985
102,Mn(II)(ammonia)4eq(ammonia)ax1(ammonia)ax2,-3.3366394491546227,-3.053785460818021,-37.60588863
103,Mn(III)(ammonia)4eq(ammonia)ax1(ammonia)ax2,-3.3436552532748456,-2.96704183075194,-45.32434609
104,Co(II)(porphyrin)eq(ammonia)ax1(ammonia)ax2,0.5765068977968845,1.4602612632438445,2.319467946
105,Cr(II)(misc)4eq(misc)ax1(misc)ax2,-0.6893969822984632,-0.19307099152258533,-17.04507939
106,Co(II)(water)2eq(water)ax1(water)ax2,-0.5280509478594424,1.200129702975648,-6.619236207
107,Cr(III)(pisc)2eq(pisc)ax1(pisc)ax2,2.948687428524819,1.119065672212982,-15.1030837
108,Mn(III)(carbonyl)2eq(carbonyl)ax1(carbonyl)ax2,-1.613412714481211,-3.0772322286005465,-47.51413763
109,Mn(II)(carbonyl)2eq(carbonyl)ax1(carbonyl)ax2,-1.6063969103609894,-3.163975858666628,-8.835575037
110,Mn(II)(isothiocyanate)4eq(isothiocyanate)ax1(isothiocyanate)ax2,-0.5470369379815029,-1.8208983584763996,-46.77209691
111,Mn(III)(isothiocyanate)4eq(isothiocyanate)ax1(isothiocyanate)ax2,-0.5540527421017245,-1.7341547284103191,-33.60962594
112,Mn(III)(cyanide)4eq(ammonia)ax1(ammonia)ax2,-3.6388096244016643,-2.5504503081680623,-39.59065882
113,Co(II)(en)3,0.7413825176093639,1.360079053983537,-7.813100767000001
114,Co(III)(en)3,0.7343667134891417,1.4468226840496181,40.11729052
115,Cr(III)(tbuc)3,4.996843054055125,1.5142397394757925,-23.71663433
116,Cr(II)(tbuc)3,5.003858858175344,1.4274961094097118,-54.01119002
117,Mn(II)(cyanide)2eq(cyanide)ax1(cyanide)ax2,-1.6766713974997387,-3.046228183504583,-16.77793887
118,Mn(II)(carbonyl)4eq(ammonia)ax1(ammonia)ax2,-3.5441406615480378,-2.952589883735532,-11.00454713
119,Cr(II)(pisc)4eq(isothiocyanate)ax1(isothiocyanate)ax2,0.01868050228106149,-0.10060131136602832,-4.526530993
120,Mn(III)(misc)4eq(misc)ax1(misc)ax2,-0.3954355330168654,-1.8534273371937005,-21.70513663
121,Mn(II)(misc)4eq(misc)ax1(misc)ax2,-0.3884197288966437,-1.9401709672597813,8.963505838
122,Mn(II)(cyanide)4eq(cyanide)ax1(cyanide)ax2,-3.528582450554836,-2.093198284603406,-30.62225087
123,Mn(III)(cyanide)4eq(cyanide)ax1(cyanide)ax2,-3.535598254675057,-2.0064546545373254,-26.62235095
124,Co(III)(pisc)2eq(pisc)ax1(pisc)ax2,2.7342836079537105,3.496607822304042,-3.364028919
125,Mn(III)(ox)4eq(ox)ax1(ox)ax2,0.7848507790172058,-1.6551302727573312,-42.83452538
126,Mn(II)(ox)4eq(ox)ax1(ox)ax2,0.7918665831374271,-1.741873902823413,-49.74669231
127,Co(II)(water)4eq(isothiocyanate)ax1(isothiocyanate)ax2,-1.884295416254946,2.4795744931589025,-11.92031479
128,Co(III)(cyanide)4eq(cyanide)ax1(cyanide)ax2,-3.976210049629808,2.007721640225684,69.09905893
129,Cr(II)(cyanide)4eq(cyanide)ax1(cyanide)ax2,-3.7809704460966627,-0.3740620636569986,-38.0345147
130,Mn(III)(porphyrin)eq(ammonia)ax1(ammonia)ax2,1.1929719645937438,-3.080264045434446,5.897794245
131,Cr(II)(carbonyl)4eq(carbonyl)ax1(carbonyl)ax2,-3.621676205250361,-0.8081257160157195,-23.04567864
132,Co(III)(cyanide)4eq(water)ax1(water)ax2,-3.8724371017949393,1.867677542136789,49.343779
133,Mn(II)(carbonyl)4eq(carbonyl)ax1(carbonyl)ax2,-3.3706548046826827,-2.526341905266839,-6.57434355
134,Mn(III)(carbonyl)4eq(carbonyl)ax1(carbonyl)ax2,-3.3776706088029043,-2.439598275200759,-32.00968141
135,Cr(II)(phen)3,6.668502413273725,-0.13011820348582565,-32.32193591
136,Cr(II)(ammonia)4eq(cyanide)ax1(cyanide)ax2,-3.4986958314467214,-0.6482406966577037,-41.87074584
137,Fe(III)(pisc)4eq(water)ax1(water)ax2,-1.858256188223336,1.3651708874290487,9.625441514
138,Cr(II)(en)3,1.0790274135051545,-1.5055306431818452,-43.36595778
139,Mn(III)(ammonia)2eq(ammonia)ax1(ammonia)ax2,-0.11881174540716283,-3.5190630142674,-40.30917075
140,Mn(II)(ammonia)2eq(ammonia)ax1(ammonia)ax2,-0.11179594128694127,-3.60580664433348,-27.35775927
141,Cr(III)(ox)4eq(pisc)ax1(pisc)ax2,2.3217448918241494,0.9272494039923145,-18.44708559
142,Fe(III)(isothiocyanate)4eq(cl)ax1(cl)ax2,-2.2181175652179443,3.278842578821731,-16.46960405
143,Fe(II)(carbonyl)2eq(carbonyl)ax1(carbonyl)ax2,-2.1567953925056305,0.817311681828288,11.64227775
144,Co(III)(cl)2eq(cl)ax1(cl)ax2,-0.2656661390481417,3.1222347177811733,24.04775609
145,Mn(II)(acac)3,5.138079266114313,-0.9812379147436309,-34.0337571
146,Mn(III)(acac)3,5.131063461994092,-0.8944942846775498,-37.95121231
147,Mn(III)(isothiocyanate)4eq(pisc)ax1(pisc)ax2,1.8767053896452333,-0.7786491773775437,-24.93621918
148,Mn(II)(isothiocyanate)4eq(pisc)ax1(pisc)ax2,1.8837211937654557,-0.8653928074436243,-12.00409233
149,Mn(III)(pisc)4eq(isothiocyanate)ax1(isothiocyanate)ax2,0.3211362276932469,-1.7594097612463495,-10.45855519
150,Mn(III)(cl)2eq(cl)ax1(cl)ax2,0.5814871758942014,-1.1914935307114332,-38.67709227
151,Mn(II)(cl)2eq(cl)ax1(cl)ax2,0.5885029800144235,-1.2782371607775134,-31.95938131
152,Cr(III)(cl)2eq(cl)ax1(cl)ax2,0.2282326079814132,0.5867363753801412,-22.76839519
153,Mn(III)(ox)4eq(water)ax1(water)ax2,-1.5057530850334786,-2.297628773841403,-48.92852007
154,Mn(II)(ammonia)4eq(cyanide)ax1(cyanide)ax2,-3.235477650246613,-2.5098746315158498,-22.81019328
