D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,name
0.0,0.0,0.0,0.0,0.0,2.96,4.279999999999999,8.71,0.0,6.0,7.0,19.0,0.0,162.0,251.0,467.0,0.0,-6.199999999999999,-5.649999999999999,-11.029999999999996,11.0,20.0,28.0,36.0,7.9082,15.600000000000001,22.5276,20.393600000000003,48.0,112.0,126.0,88.0,2759.0,3422.0,4382.0,1678.0,86.7606,143.88799999999998,207.69039999999995,309.1936,1.0,4.0,6.0,11.0,2.1904,4.3808,6.808,11.203599999999998,16.0,40.0,68.0,100.0,2304.0,1440.0,1776.0,2928.0,2.8560999999999996,21.9024,26.6851,50.0578,temp_cif_primitive
0.0,0.0,0.0,0.0,0.0,2.96,4.279999999999999,8.71,0.0,6.0,7.0,19.0,0.0,162.0,251.0,467.0,0.0,-6.199999999999999,-5.649999999999999,-11.029999999999996,11.0,20.0,28.0,36.0,7.908200000000001,15.600000000000001,22.5276,20.3936,48.0,112.0,126.0,88.0,2759.0,3422.0,4382.0,1678.0,86.76059999999998,143.88799999999998,207.6904,309.1936,1.0,4.0,6.0,11.0,2.1904,4.3808,6.808,11.203599999999998,16.0,40.0,68.0,100.0,2304.0,1440.0,1776.0,2928.0,2.8560999999999996,21.9024,26.6851,50.0578,temp_cif_primitive
0.0,0.0,0.0,0.0,0.0,2.96,4.279999999999999,8.71,0.0,6.0,7.0,19.0,0.0,162.0,251.0,467.0,0.0,-6.199999999999999,-5.649999999999999,-11.029999999999996,11.0,20.0,28.0,36.0,7.908200000000001,15.600000000000001,22.5276,20.3936,48.0,112.0,126.0,88.0,2759.0,3422.0,4382.0,1678.0,86.7606,143.888,207.69039999999995,309.1935999999999,1.0,4.0,6.0,11.0,2.1904,4.3808,6.808,11.203599999999998,16.0,40.0,68.0,100.0,2304.0,1440.0,1776.0,2928.0,2.8560999999999996,21.9024,26.6851,50.0578,temp_cif_primitive
0.0,0.0,0.0,0.0,0.0,2.96,4.279999999999999,8.71,0.0,6.0,7.0,19.0,0.0,162.0,251.0,467.0,0.0,-6.199999999999999,-5.649999999999999,-11.029999999999996,11.0,20.0,28.0,36.0,7.9082,15.600000000000001,22.5276,20.3936,48.0,112.0,126.0,88.0,2759.0,3422.0,4382.0,1678.0,86.76059999999998,143.888,207.6904,309.1936,1.0,4.0,6.0,11.0,2.1904,4.3808,6.808,11.203599999999998,16.0,40.0,68.0,100.0,2304.0,1440.0,1776.0,2928.0,2.8560999999999996,21.9024,26.6851,50.0578,temp_cif_primitive
