,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework)
929,MOF_net-zzz_node1-N14_node2-orgN26_edge1-E5.cif,82.3288253997,27.8080736043,527.7014422508,178.2408588484
930,MOF_net-zzz_node1-N16_node2-orgN9_edge1-E13.cif,81.1641248191,17.4732711612,679.2545350839,146.2320785873
931,MOF_net-csq_node1-N77_node2-orgN20_edge1-E15.cif,104.2689208792,11.7375435936,930.8105125991,104.7812605793
932,MOF_net-ptr_node1-N73_node2-orgN21_edge1-E2.cif,72.0494575403,13.0823634589,632.0362130423,114.761828062
933,MOF_net-rtl_node1-N81_node2-orgN22_edge1-E1.cif,89.1262206425,13.371826467,777.4801075133,116.6472560404
934,MOF_net-ptr_node1-N78_node2-orgN1_edge1-E14.cif,84.5250572969,10.0812597325,833.25217417,99.3815545245
935,MOF_net-ptr_node1-N55_node2-orgN1_edge1-E5.cif,85.9196448753,12.6250843776,760.8380701563,111.7980043718
936,MOF_net-ptr_node1-N29_node2-orgN20_edge1-E0.cif,118.139098977,10.3750409525,1083.0445340651,95.1135694417
937,MOF_net-zzz_node1-N17_node2-orgN3_edge1-E1.cif,84.625680151,21.7763921641,577.5937816068,148.629927433
938,MOF_net-ptr_node1-N29_node2-orgN21_edge1-E15.cif,141.0311007134,8.457231211,1425.979574196,85.5119112031
939,MOF_net-nom_node1-N10_node2-orgN19_edge1-E2.cif,88.5615872862,11.2333166146,822.7207122746,104.3554268789
940,MOF_net-rtl_node1-N49_node2-orgN11_edge1-E15.cif,98.6314207936,11.1554861622,943.8652420251,106.7537663118
941,MOF_net-ptr_node1-N10_node2-orgN19_edge1-E10.cif,88.1865611392,11.0916168875,813.3181287999,102.2946464379
942,MOF_net-eea_node1-N21_node2-orgN22_edge1-E15.cif,102.8505325346,10.1230665122,988.135951537,97.2573083876
943,MOF_net-apo_node1-N44_node2-orgN2_edge1-E15.cif,88.2272296977,11.9530942928,798.7126493791,108.2102163201
944,MOF_net-zzz_node1-N20_node2-orgN14_edge1-none.cif,81.918991308,54.529562782,327.5215806282,218.0154846656
945,MOF_net-ctn_node1-N79_node2-orgN23_edge1-E7.cif,100.0900092332,10.7245961035,943.1365670112,101.0566272214
946,MOF_net-bwt_node1-N83_node2-orgN8_edge1-E1.cif,86.031212832,12.7425293498,728.1293576196,107.8470174315
947,MOF_net-ptr_node1-N73_node2-orgN18_edge1-E3.cif,80.0414084751,11.9769681968,741.9379701709,111.0196289898
948,MOF_net-zzz_node1-N45_node2-orgN26_edge1-E15.cif,81.5871769676,15.346845375,670.0251151608,126.034166421
949,MOF_net-tbo_node1-N66_node2-orgN19_edge1-E15.cif,159.4666297999,7.1897231624,1710.2676759791,77.1092431024
950,MOF_net-anh_node1-N17_node2-orgN8_edge1-E0.cif,77.267831081,21.3020198687,550.7712823313,151.84250205
951,MOF_net-tbo_node1-N24_node2-orgN8_edge1-E13.cif,116.3255071211,8.9491537566,1192.7310636235,91.7591845749
952,MOF_net-bwt_node1-N83_node2-orgN5_edge1-E13.cif,98.2331071762,9.2432827635,999.0221540785,94.0033815742
953,MOF_net-zzz_node1-N47_node2-orgN17_edge1-E1.cif,78.2420750951,16.332332784,600.8878540192,125.4299606159
954,MOF_net-zzz_node1-N17_node2-orgN9_edge1-E7.cif,89.447562036,39.8824855069,405.0476443497,180.6008619763
955,MOF_net-ssa_node1-N41_node2-orgN19_edge1-E13.cif,150.7946052513,8.1063020146,1545.0657748813,83.0584740269
956,MOF_net-ptr_node1-N79_node2-orgN21_edge1-E14.cif,117.2773412357,8.4692584118,1199.734260378,86.6395790489
957,MOF_net-ptr_node1-N18_node2-orgN21_edge1-E0.cif,105.531076496,10.8371968614,973.1372499973,99.9334063627
958,MOF_net-pto_node1-N41_node2-orgN26_edge1-E5.cif,96.5038930009,12.9573100882,865.5418907954,116.213909352
959,MOF_net-ssa_node1-N24_node2-orgN10_edge1-E14.cif,93.128569427,12.2120267918,845.4417378088,110.8634784849
960,MOF_net-eea_node1-N20_node2-orgN23_edge1-E13.cif,100.4576077693,10.1813598692,979.380572442,99.2600389194
961,MOF_net-ptr_node1-N79_node2-orgN18_edge1-E7.cif,118.209736766,9.3113469486,1147.3727415414,90.378220679
962,MOF_net-ptr_node1-N29_node2-orgN1_edge1-E13.cif,122.9571812552,8.7489133211,1234.7270849229,87.8559522177
963,MOF_net-eea_node1-N33_node2-orgN14_edge1-E13.cif,122.4085375774,8.6895010174,1247.5233504409,88.5588181796
964,MOF_net-ptr_node1-N74_node2-orgN21_edge1-E0.cif,98.4404519221,10.3769273338,937.3009094628,98.8039290506
965,MOF_net-eea_node1-N47_node2-orgN17_edge1-E10.cif,69.1518268565,17.295104448,522.0862967154,130.5755385365
966,MOF_net-rtl_node1-N81_node2-orgN8_edge1-E1.cif,81.7194857074,14.2533458921,701.7337276698,122.3949644087
967,MOF_net-ptr_node1-N42_node2-orgN19_edge1-E13.cif,151.1518517781,7.7595924932,1573.3125887637,80.7682103105
968,MOF_net-bwt_node1-N66_node2-orgN14_edge1-E8.cif,87.390235782,10.2149620927,872.7983659515,102.0205763606
