,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework)
0,MOF_net-gar_node1-N29_node2-N20_edge1-E8.cif,60.1648093743,18.656502405,499.8737456114,155.0058220777
1,MOF_net-gar_node1-N74_node2-N13_edge1-E8.cif,52.2359024471,16.7470025762,449.7268460536,144.1839098515
2,MOF_net-gar_node1-N42_node2-N70_edge1-E0.cif,67.0043801201,24.8708961424,436.9163382446,162.1759779274
3,MOF_net-gar_node1-N29_node2-N30_edge1-E3.cif,60.7120514123,35.0453434763,338.1929616387,195.2180535198
4,MOF_net-gar_node1-N73_node2-N36_edge1-E15.cif,69.4941717667,12.7359120531,635.1209136814,116.3960069466
5,MOF_net-gar_node1-N78_node2-N12_edge1-E1.cif,74.5267252574,17.434524186,572.3586161893,133.8955938636
6,MOF_net-gar_node1-N79_node2-N14_edge1-E14.cif,64.6824413857,13.2964353294,593.4749553006,121.9975806995
7,MOF_net-llk_node1-N83_node2-N27_edge1-E7.cif,66.239621709,19.6259400953,446.0251514917,132.1514627999
8,MOF_net-gar_node1-N29_node2-N53_edge1-E14.cif,60.5394264348,16.3467916748,536.4332260117,144.8471303657
9,MOF_net-llk_node1-N83_node2-N27_edge1-E15.cif,72.6392375622,13.4876409114,611.5836865266,113.5587518259
10,MOF_net-gar_node1-N74_node2-N45_edge1-E8.cif,55.616488479,19.2356571,434.2464772181,150.1895671788
11,MOF_net-myd_node1-N41_node2-N49_edge1-E15.cif,91.8291741769,12.4977661136,812.2272532156,110.5424973353
12,MOF_net-cor_node1-N24_node2-N52_edge1-E15.cif,81.6005616869,12.5321861401,752.6099721148,115.5855801292
13,MOF_net-gar_node1-N10_node2-N14_edge1-E1.cif,76.7221274638,17.2349819176,596.2250198239,133.9369459007
14,MOF_net-iac_node1-N29_node2-N39_edge1-E14.cif,65.2653311432,18.2757089979,547.0174114279,153.1767456463
15,MOF_net-llk_node1-N66_node2-N27_edge1-E13.cif,61.919691045,14.3530706256,526.3208931136,122.0019160805
16,MOF_net-gar_node1-N29_node2-N45_edge1-E7.cif,67.9985650918,25.871793743,436.2247123082,165.9728520332
17,MOF_net-gar_node1-N79_node2-N33_edge1-E5.cif,66.6685919215,17.2266706002,546.4978827424,141.2110071382
