name,KR,KV,KVRH,GR,GV,GVRH
optimized_MOF_net-ssa_node1-N24_node2-orgN10_edge1-E0,0.24406142329961186,0.6603452907739757,0.4522033570367938,0.181357567239867,0.5792503514573758,0.3803039593486214
optimized_MOF_net-tbo_node1-N66_node2-orgN18_edge1-E5,0.3529383600172199,0.7526443265158126,0.5527913432665162,0.03772202239025077,0.2323601380104547,0.13504108020035274
optimized_MOF_net-ssa_node1-N24_node2-orgN15_edge1-E7,0.191584582672758,0.6816113653997471,0.4365979740362525,0.22153211724864208,0.6707415545100464,0.4461368358793442
optimized_MOF_net-ssa_node1-N24_node2-orgN15_edge1-E8,0.18746944073233235,0.6224024750007895,0.4049359578665609,0.19102171153750855,0.611212423735584,0.4011170676365463
optimized_MOF_net-tbo_node1-N24_node2-orgN2_edge1-E5,0.27997187960486863,0.3524368509152426,0.31620436526005563,0.06941402386266914,0.16637071493242322,0.1178923693975462
optimized_MOF_net-tbo_node1-N24_node2-orgN2_edge1-E2,0.4585891404040779,0.5269573388718279,0.492773239637953,0.16179430148017926,0.2935278631234243,0.2276610823018018
optimized_MOF_net-tbo_node1-N66_node2-orgN19_edge1-E14,0.14128309196602992,0.2347222129703488,0.1880026524681893,0.03493619812547464,0.07224294851326409,0.053589573319369366
optimized_MOF_net-sit_node1-N52_node2-orgN2_edge1-E9,2.3880585146650484,5.852206872470697,4.120132693567873,0.6542894378445477,1.1771974315515858,0.9157434346980668
optimized_MOF_net-ssa_node1-N24_node2-orgN19_edge1-E2,0.1493688742645152,0.16847848967643106,0.15892368197047313,0.17900408024848305,0.2572211047581169,0.21811259250329995
optimized_MOF_net-ssa_node1-N24_node2-orgN10_edge1-E8,0.24379560903838798,0.5290845697193826,0.3864400893788853,0.15777466887902167,0.4129672780631894,0.2853709734711055
optimized_MOF_net-cml_node1-N61_node2-orgN8_edge1-E0,0.18702170829290332,4.1236356292930445,2.1553286687929742,0.23036908999588854,1.5292203299704827,0.8797947099831857
optimized_MOF_net-tbo_node1-N24_node2-orgN2_edge1-E14,0.2413570249381435,0.26051615020086644,0.250936587569505,0.07757489291340973,0.12463106456929345,0.1011029787413516
optimized_MOF_net-ssa_node1-N24_node2-orgN10_edge1-E1,1.2069763047792337,2.7472371445826727,1.977106724680953,1.0168755295649334,1.6937923366773624,1.3553339331211478
optimized_MOF_net-hwx_node1-N61_node2-orgN26_edge1-E8,1.4683975681011243,1.5598480064108255,1.514122787255975,0.2519071827462369,0.5523262637827986,0.40211672326451775
optimized_MOF_net-ssa_node1-N24_node2-orgN10_edge1-E14,0.19925718436865136,0.5871812889241292,0.3932192366463903,0.1958153239061364,0.4850392889567882,0.3404273064314623
optimized_MOF_net-sit_node1-N52_node2-orgN8_edge1-E1,2.209902222153537,6.608861527958712,4.409381875056125,1.1533988986763413,1.9939753759481076,1.5736871373122243
optimized_MOF_net-sit_node1-N52_node2-orgN8_edge1-E15,1.3370102134942683,8.298044172604573,4.81752719304942,0.8289171847638142,2.239497690906623,1.5342074378352186
optimized_MOF_net-hwx_node1-N61_node2-orgN26_edge1-E0,0.2986958293887741,0.9418793954493956,0.6202876124190848,0.21578605143796176,0.6258352311511274,0.4208106412945446
optimized_MOF_net-tbo_node1-N66_node2-orgN19_edge1-E5,0.20151888593284029,0.2323441808862619,0.2169315334095511,0.05865142562601161,0.0859038143070289,0.07227761996652025
optimized_MOF_net-ssa_node1-N24_node2-orgN15_edge1-E5,0.5345525953099349,1.5148498953511802,1.0247012453305575,0.5829650096451537,1.3443181680688798,0.9636415888570168
optimized_MOF_net-hwx_node1-N61_node2-orgN26_edge1-E10,1.6993248966939172,1.9046922285837236,1.8020085626388205,0.7428714685274898,1.2285477129353122,0.9857095907314009
optimized_MOF_net-hwx_node1-N61_node2-orgN26_edge1-E1,0.6990168202597794,0.7082913585119676,0.7036540893858735,0.22325287045092565,0.3928328546215666,0.3080428625362461
optimized_MOF_net-hwx_node1-N61_node2-orgN26_edge1-E7,1.677940738051404,1.7812600594578505,1.7296003987546271,0.3982634384948059,0.7788282547575281,0.588545846626167
optimized_MOF_net-ssa_node1-N24_node2-orgN19_edge1-E10,0.1992836669652435,0.2885722183635377,0.2439279426643906,0.18205093831260105,0.2521055224857131,0.21707823039915708
optimized_MOF_net-sqc_node1-N80_node2-orgN15_edge1-none,37.052975398008215,41.44718448022982,39.250079939119026,27.820461266134963,30.81711495898663,29.318788112560803
optimized_MOF_net-tbo_node1-N66_node2-orgN15_edge1-E0,0.478640407891466,0.7451553178118272,0.6118978628516466,0.14813743519690795,0.2507723563066186,0.19945489575176328
optimized_MOF_net-ssa_node1-N24_node2-orgN15_edge1-E1,0.3765572346024987,1.4003740754095455,0.8884656550060221,0.20465640971258325,0.8994725928306223,0.5520645012716028
optimized_MOF_net-sit_node1-N52_node2-orgN8_edge1-E9,2.7611576120227004,14.015784805195711,8.388471208609204,1.1629836954520785,3.544734026988764,2.353858861220421
optimized_MOF_net-tbo_node1-N24_node2-orgN2_edge1-E10,0.5446547357477501,0.6186823230764011,0.5816685294120756,0.21861089815555607,0.3211283759394312,0.2698696370474937
optimized_MOF_net-tbo_node1-N66_node2-orgN10_edge1-E8,0.3007864742517695,0.34611723487543483,0.3234518545636021,0.09228037847750208,0.18048005384804489,0.13638021616277346
optimized_MOF_net-ssa_node1-N24_node2-orgN15_edge1-E0,0.38699189717593896,0.6480326151523973,0.5175122561641682,0.3315571125962916,0.7632698970656641,0.5474135048309778
