,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework)
2549,MOF_net-bcg_node1-N76_edge1-E7.cif,81.8610202934,51.6624200164,280.1568569373,176.8067532228
2550,MOF_net-hjm_node1-N74_edge1-E0.cif,92.8870202205,64.4190424891,295.9238243523,205.2292060743
2551,MOF_net-uox_node1-N29_edge1-E0.cif,80.9754220236,17.2094720705,652.7482793533,138.7267025209
2552,MOF_net-wll_node1-N0_edge1-E1.cif,77.0272482263,17.3518800301,632.3195116077,142.4422208866
2553,MOF_net-vbm_node1-N70_edge1-E8.cif,55.2813384016,20.3990320205,462.2506337645,170.572307985
2554,MOF_net-wkf_node1-N48_edge1-E8.cif,60.621502161,25.5039562164,388.7418486349,163.5468395478
2555,MOF_net-whr_node1-N61_edge1-E15.cif,76.5768311474,16.6221595894,633.9120444026,137.6001985169
2556,MOF_net-upd_node1-N24_edge1-E13.cif,90.2813201211,11.7512919957,841.5946569546,109.5445275123
2557,MOF_net-neb_node1-N4_edge1-E1.cif,70.0285483626,14.7611962473,582.1165480956,122.7033375123
2558,MOF_net-wir_node1-N30_edge1-E15.cif,71.2559220554,16.948399116,564.7594416816,134.3294444312
2559,MOF_net-vbi_node1-N85_edge1-E8.cif,80.8880048894,17.9324239996,639.3884580496,141.7488902817
2560,MOF_net-uko_node1-N73_edge1-E8.cif,53.9738954682,15.7603295742,490.8167776717,143.3180634741
2561,MOF_net-mer_node1-N79_edge1-E14.cif,101.2792484154,8.5311439631,1036.267780377,87.2888548936
2562,MOF_net-eci_node1-N76_edge1-none.cif,26.230028693,37.553711041,56.0972533454,80.3148203529
2563,MOF_net-vbf_node1-N0_edge1-E1.cif,81.3918374726,15.7809624654,676.4428508603,131.1546657615
2564,MOF_net-lcy-e_node1-N16_edge1-E7.cif,66.8757054163,19.0807745469,481.3601219014,137.3402180166
2565,MOF_net-uos_node1-N29_edge1-E7.cif,83.5434977562,17.792107428,644.2414001641,137.2029243346
2566,MOF_net-ung_node1-N57_edge1-E1.cif,92.0535651014,11.7967462543,822.1229014433,105.3557811419
2567,MOF_net-vbm_node1-N36_edge1-E7.cif,67.0418020722,28.7266871225,430.1106453786,184.2977598446
2568,MOF_net-uoa_node1-N42_edge1-E14.cif,63.4250810376,16.920087941,505.312952807,134.8037631066
2569,MOF_net-ukv_node1-N79_edge1-E10.cif,63.2891261871,13.5061927039,568.2018816502,121.2569136378
2570,MOF_net-wio_node1-N69_edge1-E13.cif,72.3087700071,12.8127955127,653.4050329335,115.7804934743
2571,MOF_net-umk_node1-N4_edge1-E14.cif,68.9234795331,12.6007383398,604.1411608704,110.4503826561
2572,MOF_net-ukd_node1-N10_edge1-E0.cif,71.3193539517,16.996306044,602.1368110979,143.4968343752
2573,MOF_net-crs_node1-N36_edge1-E15.cif,77.0011239461,13.1009253435,639.7172526513,108.8411121609
2574,MOF_net-sxa_node1-N13_edge1-E3.cif,74.1535547323,89.2011150189,147.1242039507,176.9792842171
2575,MOF_net-vcc_node1-N20_edge1-E7.cif,69.5749809825,38.7810139971,347.4078452995,193.644731497
2576,MOF_net-uml_node1-N18_edge1-E7.cif,72.3113784657,14.3255947187,597.4283084092,118.3564191603
2577,MOF_net-umn_node1-N18_edge1-E14.cif,64.2098894553,10.9912560321,625.8000128872,107.1225667087
2578,MOF_net-vcc_node1-N20_edge1-E15.cif,61.4221128352,19.271339641,500.1948169736,156.9373595215
2579,MOF_net-umk_node1-N79_edge1-E5.cif,94.5651101555,9.3919484343,936.3151827851,92.992266392
2580,MOF_net-why_node1-N28_edge1-E13.cif,82.8589674657,15.6350097208,702.962330398,132.6449412209
2581,MOF_net-wlg_node1-N0_edge1-E5.cif,66.5597659281,22.1638629747,520.0517116273,173.1730079805
2582,MOF_net-uoh_node1-N74_edge1-E15.cif,76.9829414008,9.7971734218,779.2119537281,99.1657957482
2583,MOF_net-sxg_node1-N43_edge1-E7.cif,57.6981233089,27.7232581119,351.8092467155,169.0401349904
2584,MOF_net-yft_node1-N85_edge1-E14.cif,77.4221421093,17.0102096436,606.3974709034,133.2299498103
2585,MOF_net-fcn_node1-N85_edge1-E3.cif,91.2312137346,20.6970812909,567.5775218306,128.7629269338
2586,MOF_net-wgd_node1-N86_edge1-E7.cif,89.3849480532,22.3638764561,576.7757549832,144.3077610744
2587,MOF_net-why_node1-N21_edge1-E5.cif,58.0875746456,23.8426399043,394.0802318466,161.7542670471
2588,MOF_net-ukb_node1-N42_edge1-E13.cif,73.5392553649,11.7956842379,701.0180530499,112.4431782426
2589,MOF_net-why_node1-N33_edge1-E1.cif,74.1319831474,17.9371039843,558.1771934687,135.0575276127
2590,MOF_net-wmc_node1-N28_edge1-E13.cif,78.570902745,18.8995448853,636.9315882223,153.208334382
2591,MOF_net-unl_node1-N42_edge1-E14.cif,54.8435993768,16.6291159882,476.9824316997,144.6257406735
2592,MOF_net-wiu_node1-N33_edge1-E0.cif,62.294795068,26.8662951793,416.4035627468,179.5851646713
2593,MOF_net-ukj_node1-N41_edge1-E15.cif,90.6934338217,12.0743246355,833.4302516878,110.9573978606
2594,MOF_net-fcd_node1-N86_edge1-E5.cif,82.6896607985,19.0153289404,586.6064636558,134.8961255524
2595,MOF_net-fno_node1-N86_edge1-E5.cif,78.5303105725,31.1879196899,489.624437849,194.4518942373
2596,MOF_net-sne_node1-N46_edge1-E1.cif,71.2940155856,21.4822864856,464.5638677562,139.9822133181
2597,MOF_net-crs_node1-N14_edge1-E8.cif,63.0695545855,19.0483844266,439.7928940621,132.8270695621
2598,MOF_net-unv_node1-N4_edge1-E13.cif,82.1252159542,11.966164882,723.9650939707,105.486306278
2599,MOF_net-whw_node1-N14_edge1-E1.cif,72.4323334533,24.9086917661,424.0331421957,145.8203862007
2600,MOF_net-oof_node1-N76_edge1-none.cif,17.8777082076,24.6915191331,46.3143222698,63.9663071567
2601,MOF_net-unl_node1-N18_edge1-E15.cif,76.1720829238,11.3948403495,743.0240550919,111.1514896093
2602,MOF_net-bcg_node1-N34_edge1-E8.cif,81.1050603408,52.1727598115,319.905504659,205.786827441
2603,MOF_net-sml_node1-N17_edge1-E1.cif,73.9117538386,27.0823077034,474.0788630989,173.70917316
2604,MOF_net-lcy-e_node1-N14_edge1-E1.cif,74.4966420636,16.9732084088,566.6456752575,129.1037404324
2605,MOF_net-som_node1-N12_edge1-E14.cif,50.8297653751,20.2751005461,424.3560446655,169.2681720922
2606,MOF_net-uow_node1-N29_edge1-E15.cif,91.4133844992,11.2266012399,871.7480360998,107.0605539507
2607,MOF_net-uml_node1-N24_edge1-E15.cif,121.6305588407,8.5502750101,1241.6793382526,87.286451017
2608,MOF_net-wmp_node1-N61_edge1-E14.cif,60.0324824958,14.581698048,519.3703416679,126.1533953363
2609,MOF_net-ilc_node1-N77_edge1-E4.cif,91.6643429787,79.8232877631,165.6642093846,144.2639681694
2610,MOF_net-wiv_node1-N20_edge1-E3.cif,52.0872713344,44.6958914863,233.4570707857,200.3286337569
2611,MOF_net-rkf_node1-N13_edge1-E3.cif,49.726252372,44.5701263828,204.2301125883,183.0534475257
2612,MOF_net-vbm_node1-N13_edge1-E3.cif,47.9934416282,42.3971467611,218.3765807483,192.9126903399
2613,MOF_net-gme_node1-N79_edge1-E3.cif,85.7061970068,9.9881289207,834.0786045755,97.2028269066
2614,MOF_net-ukk_node1-N41_edge1-E8.cif,72.5129409086,13.6637248168,682.6264596219,128.6283521265
2615,MOF_net-uma_node1-N73_edge1-E8.cif,70.9300820669,10.6602505784,665.955110913,100.0879760667
2616,MOF_net-ukn_node1-N79_edge1-E3.cif,83.8958705585,10.2688096012,805.2104976146,98.55733344
2617,MOF_net-lcy-a_node1-N79_edge1-E5.cif,100.3133469475,9.364818136,969.1040079512,90.4713387147
2618,MOF_net-sxe_node1-N61_edge1-E13.cif,78.6768689981,15.499702199,657.906980547,129.6106772292
2619,MOF_net-ukp_node1-N57_edge1-E14.cif,56.2894224556,12.1583527056,536.448412328,115.8713079815
2620,MOF_net-gme_node1-N4_edge1-E13.cif,90.4101047733,10.3889820591,836.3901518332,96.1091938074
2621,MOF_net-ukd_node1-N10_edge1-E13.cif,84.5972446069,10.6519063264,858.1821708938,108.0564282891
2622,MOF_net-wna_node1-N17_edge1-E15.cif,72.1773385585,14.7756134228,627.2593777693,128.4079223041
2623,MOF_net-ung_node1-N18_edge1-E1.cif,83.4569347442,11.9148181527,753.9888987435,107.6440279671
2624,MOF_net-ict_node1-N18_edge1-E0.cif,65.6652443265,20.1025619552,531.3171473345,162.655846052
2625,MOF_net-ict_node1-N55_edge1-E13.cif,79.064676977,11.3184594368,799.8942287896,114.5084091713
2626,MOF_net-ukp_node1-N24_edge1-E14.cif,77.2227054809,10.5458455814,774.9239408053,105.8267534941
2627,MOF_net-uow_node1-N73_edge1-E7.cif,65.4933537857,14.8727994299,553.2978901925,125.6476889665
2628,MOF_net-vbb_node1-N41_edge1-E5.cif,84.2535748866,14.190562637,711.1349179569,119.7742008005
2629,MOF_net-whz_node1-N61_edge1-E13.cif,71.8391566051,16.5970468059,611.1705872338,141.1991359875
2630,MOF_net-hcp_node1-N8_edge1-E8.cif,64.4649404876,60.6358934301,215.3224899746,202.5329032565
2631,MOF_net-whk_node1-N21_edge1-E13.cif,66.8645697234,14.5270875812,570.4390400438,123.9343635761
2632,MOF_net-sml_node1-N14_edge1-E7.cif,72.0640064317,40.8929375652,330.0985209727,187.3154002518
2633,MOF_net-snk_node1-N13_edge1-E1.cif,66.2344325974,24.6631411866,457.6002356095,170.3926307704
2634,MOF_net-ske_node1-N16_edge1-E0.cif,61.8317574271,21.4659973759,485.3196604793,168.487375935
2635,MOF_net-sog_node1-N0_edge1-E13.cif,82.2546473797,12.5703272052,766.4113010793,117.1245775802
2636,MOF_net-ukc_node1-N79_edge1-E14.cif,93.2234541642,9.0499990473,944.9856412375,91.737848909
2637,MOF_net-umy_node1-N79_edge1-E1.cif,104.5414016557,9.0567603027,1044.8904242479,90.5222425295
2638,MOF_net-wgm_node1-N0_edge1-E13.cif,83.7397056054,11.4668724251,807.4055528866,110.5618464181
2639,MOF_net-cha_node1-N42_edge1-E5.cif,69.6988056231,19.7958608004,445.9542091711,126.6599530538
2640,MOF_net-dei_node1-N29_edge1-E13.cif,123.0883796047,8.4509504226,1259.7869648794,86.4939258883
2641,MOF_net-ukb_node1-N29_edge1-E1.cif,84.034821274,14.3615241616,729.7590133895,124.7155827077
2642,MOF_net-wir_node1-N43_edge1-E8.cif,60.7459266524,27.1050454435,376.0267426996,167.7844509174
2643,MOF_net-sxa_node1-N69_edge1-E0.cif,73.2831891999,47.944369128,302.391252249,197.8347009346
2644,MOF_net-lcy-e_node1-N44_edge1-E13.cif,67.8620534806,14.6657429361,563.2136681811,121.7167246198
2645,MOF_net-vbn_node1-N61_edge1-E7.cif,69.0726403816,25.5407381876,445.4468207904,164.7112454868
2646,MOF_net-vcu_node1-N77_edge1-E0.cif,95.0438844893,52.4897356124,353.416737433,195.1809020491
2647,MOF_net-nfb_node1-N4_edge1-E15.cif,77.8322633481,13.6574645317,656.9310094127,115.2736869631
2648,MOF_net-wlt_node1-N86_edge1-E8.cif,76.4107555254,17.4701820726,648.8425628973,148.3481956478
2649,MOF_net-vcc_node1-N81_edge1-E5.cif,55.1501328818,25.776235797,404.7432751165,189.1701352562
2650,MOF_net-nfb_node1-N78_edge1-E13.cif,75.8043110656,11.1464286069,759.5454492358,111.6851931579
2651,MOF_net-cha_node1-N18_edge1-E1.cif,86.3562407548,11.6429329895,785.8796713911,105.9557974248
2652,MOF_net-uka_node1-N73_edge1-E7.cif,66.1941686636,15.4883131312,549.0268119005,128.4629651197
2653,MOF_net-wip_node1-N30_edge1-E14.cif,58.5115893563,23.914335628,401.8577171455,164.2437067294
2654,MOF_net-uos_node1-N73_edge1-E15.cif,79.7096218726,9.3347693005,821.6403726228,96.2220513182
2655,MOF_net-sod-h_node1-N83_edge1-E13.cif,387.2216049978,5.717215513,4389.2241439471,64.8056307858
2656,MOF_net-ukb_node1-N42_edge1-E15.cif,75.9295672864,12.7090578815,690.2781944111,115.5384633502
2657,MOF_net-unx_node1-N18_edge1-E8.cif,61.2405671422,19.3396505166,488.4027399293,154.2366235708
2658,MOF_net-rob_node1-N43_edge1-E5.cif,79.3278676824,85.817306553,138.5420888539,149.8755639982
2659,MOF_net-vmg_node1-N61_edge1-E8.cif,64.5421508412,20.3732955716,498.6876781848,157.4151362044
2660,MOF_net-pem_node1-N79_edge1-E13.cif,76.119824837,11.3393948995,686.5341741698,102.2714139135
2661,MOF_net-snk_node1-N46_edge1-E1.cif,69.4499432635,26.7587172803,442.7096005405,170.5738044043
2662,MOF_net-uou_node1-N79_edge1-E8.cif,90.1106620041,9.5311748426,907.7943780935,96.0191252216
2663,MOF_net-ukm_node1-N29_edge1-E0.cif,81.7755566941,25.3375175252,573.8236585851,177.7947787032
2664,MOF_net-sxg_node1-N70_edge1-E13.cif,66.8187450187,13.8609358025,607.0366948403,125.924194694
2665,MOF_net-snk_node1-N12_edge1-E1.cif,66.426917068,22.3521258827,492.2162610276,165.6268319171
2666,MOF_net-nbo-h_node1-N0_edge1-E14.cif,67.1651372459,13.0717752172,625.391478781,121.7145854021
2667,MOF_net-sml_node1-N20_edge1-E7.cif,63.5632747611,31.7715817799,363.1073513372,181.4962327105
2668,MOF_net-unv_node1-N42_edge1-E0.cif,69.4545213343,20.9608340561,485.9760069052,146.6637771063
2669,MOF_net-ukn_node1-N18_edge1-E1.cif,93.1417489113,10.5414533293,871.1190042381,98.59016429
2670,MOF_net-crs_node1-N46_edge1-E8.cif,66.8502566881,23.4942630943,392.9409377932,138.0975665673
2671,MOF_net-vmz_node1-N77_edge1-none.cif,19.3687095552,26.2005351585,51.3157918951,69.4161480351
2672,MOF_net-gme_node1-N73_edge1-E13.cif,95.1175663151,8.0882391461,1013.7372153017,86.2022583876
2673,MOF_net-whk_node1-N70_edge1-E15.cif,66.712746483,15.6202997046,539.7620079019,126.3813105748
2674,MOF_net-ukm_node1-N74_edge1-E7.cif,59.3762136451,21.9407628003,440.9004728081,162.9220204281
2675,MOF_net-uod_node1-N29_edge1-E1.cif,81.9377957619,14.8739207614,686.2267508902,124.5686709312
