name,KR,KV,KVRH,GR,GV,GVRH
optimized_MOF_net-csq_node1-N41_node2-N77_edge1-E15,5.054938154230324,5.0795365760902085,5.067237365160267,2.560806060424861,3.1226678027887003,2.8417369316067815
optimized_MOF_net-tph_node1-N61_node2-N77_edge1-E13,1.6828028660064425,1.7391834146574912,1.7109931403319667,1.6548567291829779,1.7192972415523988,1.6870769853676886
optimized_MOF_net-tph_node1-N61_node2-N76_edge1-E13,1.9114560509557936,1.952138061831036,1.9317970563934148,1.5157105410988685,1.5892592036103392,1.5524848723546036
optimized_MOF_net-fgl_node1-N24_node2-N29_edge1-E15,3.3661826904808274,3.4742821022746684,3.4202323963777483,3.3180450792820064,4.059699940797483,3.6888725100397446
optimized_MOF_net-csq_node1-N41_node2-N76_edge1-E1,5.558165886860866,5.7128141665806735,5.6354900267207695,2.795194082825108,3.3824034287108087,3.088798755767958
optimized_MOF_net-tph_node1-N61_node2-N76_edge1-E15,1.7041151825519667,1.725699333125503,1.714907257838735,1.6448822389683415,1.682236850814706,1.6635595448915237
optimized_MOF_net-fgl_node1-N24_node2-N42_edge1-E13,0.39650036754754414,0.4980792251974097,0.4472897963724769,0.08408042242183705,0.1823873196075518,0.13323387101469442
optimized_MOF_net-fgl_node1-N24_node2-N42_edge1-E15,0.4062421559470568,0.4526209853714969,0.4294315706592768,0.09803270144488466,0.20394370984088053,0.1509882056428826
optimized_MOF_net-tph_node1-N61_node2-N76_edge1-E8,3.537487588949036,3.6160769972220015,3.5767822930855186,2.9985414538255184,3.1314522012363697,3.0649968275309436
optimized_MOF_net-ssa_node1-N41_node2-N41_edge1-E0,6.305044550344187,6.401727345290762,6.353385947817474,3.3307541326253802,3.6402780017266836,3.4855160671760315
optimized_MOF_net-fgl_node1-N24_node2-N74_edge1-E14,1.4269622394307044,1.6131853024147604,1.5200737709227323,0.3013060314165333,0.460345905740152,0.3808259685783426
optimized_MOF_net-ssa_node1-N41_node2-N41_edge1-E1,4.6819043347902545,4.7016085590479335,4.691756446919095,1.9490593185170688,2.5316075325625054,2.240333425539787
optimized_MOF_net-tph_node1-N61_node2-N77_edge1-E5,4.41517098685536,4.772834683683675,4.594002835269516,4.783223295767932,5.017571591822089,4.9003974437950095
optimized_MOF_net-fgl_node1-N24_node2-N74_edge1-E1,2.032275343305116,2.14188625665562,2.087080799980368,0.787608333093233,0.8476540511763133,0.8176311921347732
optimized_MOF_net-fgl_node1-N24_node2-N18_edge1-E14,4.9351888909603305,5.167808839194532,5.0514988650774315,1.4930095044768092,2.0746057704924445,1.7838076374846268
optimized_MOF_net-fgl_node1-N24_node2-N29_edge1-E13,0.4183624502711514,0.464476059567353,0.4414192549192522,0.09707618268649944,0.20803349661654666,0.15255483965152306
optimized_MOF_net-fgl_node1-N24_node2-N29_edge1-E7,0.8344142995883963,0.9293443681390532,0.8818793338637247,0.30841487506854803,0.4387635141924907,0.3735891946305193
optimized_MOF_net-tph_node1-N38_node2-N77_edge1-E15,2.363427846627033,2.373194582611267,2.3683112146191503,2.0322329283287663,2.068750266023657,2.050491597176212
optimized_MOF_net-alb_node1-N38_node2-N72_edge1-E0,2.8422614703702447,6.788262045689603,4.815261758029924,1.20269860767335,2.834539386971696,2.0186189973225237
optimized_MOF_net-alb_node1-N38_node2-N72_edge1-E7,4.250812322108831,5.860495579277598,5.055653950693214,0.9266892275871887,2.69971089045054,1.8132000590188644
optimized_MOF_net-tph_node1-N38_node2-N77_edge1-E13,2.2129593305187707,2.240982545583572,2.2269709380511715,1.8614621767047663,1.9184404481798905,1.8899513124423284
optimized_MOF_net-tph_node1-N38_node2-N77_edge1-E8,4.230997159303906,4.3721204617499465,4.3015588105269265,3.6308383068259578,3.7632673067053553,3.697052806765656
optimized_MOF_net-alb_node1-N61_node2-N72_edge1-E7,3.3438913273668267,4.124301028370647,3.734096177868737,0.7477750560034238,2.5840563863901003,1.6659157211967621
optimized_MOF_net-gar_node1-N18_node2-N53_edge1-E14,6.4182508256853055,7.269206928107362,6.843728876896334,2.0670466703118,3.36928503919288,2.7181658547523395
optimized_MOF_net-gar_node1-N18_node2-N53_edge1-E1,3.288422541273532,3.495904077610036,3.3921633094417833,1.2242399267585502,1.5673500805287488,1.3957950036436495
optimized_MOF_net-cor_node1-N18_node2-N52_edge1-E13,3.0413934584405133,5.478142516718856,4.259767987579686,1.5505496408311883,2.2219274815255847,1.8862385611783865
optimized_MOF_net-gar_node1-N18_node2-N53_edge1-E7,10.22776244668866,10.797295800142813,10.512529123415735,11.199318754272673,11.902454679345707,11.550886716809194
optimized_MOF_net-cor_node1-N74_node2-N52_edge1-E1,2.578870970372881,8.265288474832102,5.422079722602493,2.3986323091757997,3.629961693477418,3.0142970013266086
optimized_MOF_net-ana-f_node1-N66_node2-N66_edge1-E2,0.2460698557637621,0.2475774949307337,0.24682367534724786,0.07233121086924423,0.07587230572956714,0.07410175829940567
optimized_MOF_net-cor_node1-N18_node2-N52_edge1-E15,8.316987425150195,9.071765087903731,8.694376256526965,7.782002211803023,8.232893296700189,8.007447754251606
optimized_MOF_net-gar_node1-N29_node2-N13_edge1-E15,2.3419185621903638,2.7069425010435553,2.524430531616959,0.4438310923198645,0.46578450236802293,0.4548077973439437
optimized_MOF_net-gar_node1-N18_node2-N13_edge1-E13,5.808211685664003,6.1374557921245705,5.972833738894286,1.384601549435178,2.5576944134213515,1.9711479814282649
optimized_MOF_net-gar_node1-N18_node2-N13_edge1-E8,9.635893255649288,10.055666142974948,9.845779699312118,3.042761489093284,4.486784245286782,3.7647728671900333
