f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,name
32.0,66.0,108.0,132.0,13.260800000000001,31.49300000000001,46.9868,56.234000000000016,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.4544,425.90099999999995,689.6703999999997,830.8719999999998,temp_cif_primitive
32.0,66.0,108.0,132.0,13.260800000000001,31.493000000000006,46.98680000000001,56.234000000000016,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.4544,425.9009999999999,689.6703999999999,830.8719999999998,temp_cif_primitive
32.0,66.0,108.0,132.0,13.2608,31.493000000000013,46.986800000000024,56.23400000000002,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.4544,425.9010000000002,689.6703999999999,830.8720000000002,temp_cif_primitive
32.0,66.0,108.0,132.0,13.260800000000009,31.493000000000006,46.98680000000002,56.234000000000016,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.45439999999996,425.9010000000001,689.6703999999999,830.872,temp_cif_primitive
32.0,66.0,108.0,132.0,13.260800000000009,31.493000000000006,46.98680000000002,56.234000000000016,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.45439999999996,425.9010000000001,689.6703999999999,830.872,temp_cif_primitive
32.0,66.0,108.0,132.0,13.260800000000009,31.493000000000006,46.98680000000002,56.234000000000016,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.45439999999996,425.9010000000001,689.6703999999999,830.872,temp_cif_primitive
32.0,66.0,108.0,132.0,13.260800000000009,31.49300000000001,46.98680000000002,56.234000000000016,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.45439999999996,425.9010000000001,689.6703999999999,830.872,temp_cif_primitive
32.0,66.0,108.0,132.0,13.26080000000001,31.49300000000001,46.98680000000002,56.234000000000016,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.45440000000002,425.9010000000001,689.6704,830.872,temp_cif_primitive
32.0,66.0,108.0,132.0,13.260800000000009,31.49300000000001,46.98680000000001,56.23400000000001,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.4544,425.90100000000007,689.6704,830.8719999999998,temp_cif_primitive
32.0,66.0,108.0,132.0,13.260800000000001,31.493000000000006,46.98680000000001,56.234000000000016,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.4544,425.9009999999999,689.6703999999999,830.8719999999998,temp_cif_primitive
32.0,66.0,108.0,132.0,13.260800000000001,31.493000000000013,46.986800000000024,56.234000000000016,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.45440000000002,425.9010000000001,689.6704,830.8720000000003,temp_cif_primitive
32.0,66.0,108.0,132.0,13.260800000000009,31.493000000000006,46.98680000000002,56.234000000000016,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.4544,425.9010000000001,689.6703999999999,830.872,temp_cif_primitive
32.0,66.0,108.0,132.0,13.260800000000009,31.49300000000001,46.98680000000002,56.23400000000001,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.4544,425.9010000000001,689.6703999999999,830.8720000000001,temp_cif_primitive
32.0,66.0,108.0,132.0,13.26080000000001,31.493000000000006,46.98680000000002,56.234,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.4544,425.9010000000001,689.6703999999999,830.8720000000001,temp_cif_primitive
32.0,66.0,108.0,132.0,13.260800000000007,31.49300000000001,46.98680000000002,56.23400000000001,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.4544,425.90100000000007,689.6704,830.872,temp_cif_primitive
32.0,66.0,108.0,132.0,13.260800000000009,31.49300000000001,46.98680000000002,56.234000000000016,174.0,426.0,604.0,716.0,844.0,1752.0,2596.0,2884.0,209.45440000000002,425.9010000000001,689.6703999999999,830.8720000000001,temp_cif_primitive
