f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,name
18.0,36.0,48.0,46.0,10.2514,20.851600000000005,27.483199999999997,26.18380000000001,84.0,184.0,206.0,192.0,842.0,1488.0,2136.0,2136.0,154.50979999999998,271.31999999999994,391.49279999999993,392.4785999999999,temp_cif_primitive
18.0,36.0,48.0,46.0,10.2514,20.851600000000005,27.483199999999997,26.18380000000001,84.0,184.0,206.0,192.0,842.0,1488.0,2136.0,2136.0,154.50979999999998,271.3199999999999,391.49279999999993,392.4786,temp_cif_primitive
18.0,36.0,48.0,46.0,10.2514,20.851600000000005,27.483200000000004,26.183800000000005,84.0,184.0,206.0,192.0,842.0,1488.0,2136.0,2136.0,154.50979999999996,271.31999999999994,391.49279999999993,392.4786,temp_cif_primitive
18.0,36.0,48.0,46.0,10.251399999999999,20.8516,27.4832,26.18380000000001,84.0,184.0,206.0,192.0,842.0,1488.0,2136.0,2136.0,154.50979999999996,271.31999999999994,391.4927999999999,392.4785999999999,temp_cif_primitive
18.0,36.0,48.0,46.0,10.251399999999999,20.8516,27.4832,26.183800000000005,84.0,184.0,206.0,192.0,842.0,1488.0,2136.0,2136.0,154.50979999999998,271.31999999999994,391.4927999999999,392.4785999999999,temp_cif_primitive
18.0,36.0,48.0,46.0,10.2514,20.8516,27.483200000000004,26.183800000000005,84.0,184.0,206.0,192.0,842.0,1488.0,2136.0,2136.0,154.50979999999998,271.31999999999994,391.4927999999999,392.4785999999999,temp_cif_primitive
