index,name,KR,KV,KVRH,GR,GV,GVRH,Unnamed: 0,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework),wc cm3/g
0,optimized_MOF_net-ske_node1-N48_edge1-E15,2.5313873890022283,4.2645751475493014,3.3979812682757653,0.7182813294433559,2.5196769591376387,1.6189791442904973,4575,MOF_net-ske_node1-N48_edge1-E15.cif,65.2250891783,18.1524017618,509.5961188237,141.8226268707,444.37102964540003
1,optimized_MOF_net-unl_node1-N4_edge1-E14,1.7672224718762202,4.011311667681467,2.8892670697788434,0.5021929567518679,0.7406287178217547,0.6214108372868113,4679,MOF_net-unl_node1-N4_edge1-E14.cif,57.1915549881,17.0114157993,486.22617968139997,144.6261728113,429.0346246933
2,optimized_MOF_net-lcy-a_node1-N4_edge1-E15,0.17561086523226993,0.2389345922121091,0.20727272872218952,0.04728681190092785,0.10605103667267726,0.07666892428680255,2142,MOF_net-lcy-a_node1-N4_edge1-E15.cif,95.6673860601,9.5862229865,898.8026469635,90.06332199,803.1352609034
3,optimized_MOF_net-ske_node1-N48_edge1-E8,12.720875082172412,12.890058569931009,12.805466826051711,9.33496929451783,10.329803833888018,9.832386564202924,3512,MOF_net-ske_node1-N48_edge1-E8.cif,60.0748155471,26.487561830300002,398.839196422,175.8520235037,338.7643808749
4,optimized_MOF_net-unw_node1-N4_edge1-E13,1.374592018702234,1.3812313399120089,1.3779116793071207,0.08327046833467612,0.2300967149364023,0.15668359163553924,4709,MOF_net-unw_node1-N4_edge1-E13.cif,80.3552789359,12.090219097,713.0908208324,107.2913239069,632.7355418965001
5,optimized_MOF_net-wmi_node1-N48_edge1-E15,9.633097722802383,9.976371112682152,9.804734417742267,10.090000086799934,10.310553676354347,10.200276881577144,2329,MOF_net-wmi_node1-N48_edge1-E15.cif,67.82049946020001,17.601052036400002,520.2197548135,135.0095479646,452.39925535329996
6,optimized_MOF_net-wkj_node1-N36_edge1-E15,0.9072817829048588,1.6922865340157298,1.2997841584602945,0.6195453113188646,0.8482838471233978,0.7339145792211312,2706,MOF_net-wkj_node1-N36_edge1-E15.cif,74.8894051596,16.8430292812,544.5809812804,122.4791863971,469.6915761208
7,optimized_MOF_net-qtz-e_node1-N48_edge1-none,72.46432015779375,73.99189264420994,73.22810640100184,28.19061526298565,30.20136771223791,29.19599148761177,4782,MOF_net-qtz-e_node1-N48_edge1-none.cif,0.0003146695,0.0006201088,0.00149468,0.0029455169,0.0011800105
8,optimized_MOF_net-lcy-e_node1-N36_edge1-E13,1.2885662490392489,1.3918007949486475,1.3401835219939484,0.5909867079155403,0.8022773232168317,0.696632015566186,3559,MOF_net-lcy-e_node1-N36_edge1-E13.cif,71.6315232229,12.198263790699999,669.1246671719999,113.9464698191,597.4931439490999
9,optimized_MOF_net-wmi_node1-N48_edge1-E8,2.2750093903601654,2.4601716667044338,2.3675905285322996,1.8479650987083287,2.102496145634791,1.9752306221715599,3062,MOF_net-wmi_node1-N48_edge1-E8.cif,60.764208142799994,24.8937442669,399.5209256865,163.6748351913,338.7567175437
